id,amount,asset_name,asset_id,datetime,sender_name,recipient_name,sender_id,recipient_id
1.11.81839919,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:41:45-03:00,nahummirad,sebapuecha,1.2.414836,1.2.448506
1.11.81837452,1,MONEDAPAR.AI,1.3.1319,2017-10-25 18:30:57-03:00,nahummirad,daniel,1.2.414836,1.2.437302
1.11.73120376,1,MONEDAPAR.AI,1.3.1319,2017-09-27 11:26:54-03:00,pabloc,pablogrod,1.2.155942,1.2.361877
1.11.58705739,1,MONEDAPAR.AI,1.3.1319,2017-08-17 14:03:27-03:00,pabloc,lulecamello,1.2.155942,1.2.212884
1.11.39382197,1,MONEDAPAR.AI,1.3.1319,2017-07-07 11:47:21-03:00,mariaeva,miriamj,1.2.358353,1.2.366010
1.11.39381298,5,MONEDAPAR.AI,1.3.1319,2017-07-07 11:45:42-03:00,camba,mariaeva,1.2.185221,1.2.358353
1.11.37597088,1,MONEDAPAR.AI,1.3.1319,2017-07-04 08:13:00-03:00,pabloc,karyw,1.2.155942,1.2.171341
1.11.35324024,1,MONEDAPAR.AI,1.3.1319,2017-06-30 10:13:30-03:00,camba,mariaeva,1.2.185221,1.2.358353
1.11.29869355,1,MONEDAPAR.AI,1.3.1319,2017-06-15 17:36:30-03:00,camba,florpopi,1.2.185221,1.2.227375
1.11.29470408,1,MONEDAPAR.AI,1.3.1319,2017-06-14 17:13:51-03:00,camba,patricia,1.2.185221,1.2.188656
1.11.27671292,1,MONEDAPAR.AXXX,1.3.1320,2017-06-09 19:37:42-03:00,camba,cottic,1.2.185221,1.2.188153
1.11.25149491,1,MONEDAPAR.AI,1.3.1319,2017-06-01 16:32:12-03:00,camba,joel,1.2.185221,1.2.164170
1.11.25149444,1,MONEDAPAR.AI,1.3.1319,2017-06-01 16:31:39-03:00,camba,facu,1.2.185221,1.2.196551
1.11.24919864,1,MONEDAPAR.AI,1.3.1319,2017-05-31 15:49:00-03:00,camba,gabriel,1.2.185221,1.2.166427
1.11.24903485,1,MONEDAPAR.AI,1.3.1319,2017-05-31 13:37:15-03:00,camba,marcellus,1.2.185221,1.2.188570
1.11.24903034,1,MONEDAPAR.AI,1.3.1319,2017-05-31 13:35:21-03:00,camba,damian,1.2.185221,1.2.162708
